Date,b0,b1,b2,b3,t1,t2
2011-03-25,1.75024,-0.6748,8.57292,-1.19095,11.01209,0.17784
2011-03-28,1.78498,-0.66769,8.56203,-1.38244,10.92048,0.1672
2011-03-29,1.7738,-0.66601,8.5524,-1.24362,10.80604,0.17647
2011-03-30,1.79748,-0.62071,8.49872,-1.51708,10.76099,0.18093
2011-03-31,1.78395,-0.58429,8.43686,-1.74602,10.72192,0.15866
2011-04-01,1.82438,-0.59933,8.44893,-1.7788,10.64801,0.1574
2011-04-04,1.84118,-0.62904,8.48893,-1.77406,10.72161,0.15133
2011-04-05,1.82863,-0.62994000000000006,8.48177,-1.72513,10.72616,0.15097
2011-04-06,1.85567,-0.60199,8.42796,-1.83507,10.84645,0.15874
2011-04-07,1.91646,-0.66519,8.54115,-1.86939,10.69304,0.15381
2011-04-08,1.92569,-0.5854,8.4233,-1.87064,10.79841,0.16894
2011-04-11,1.96889,-0.55733,8.38052,-2.06531,10.99944,0.17539
2011-04-12,1.94236,-0.5888,8.42507,-1.90796,10.93918,0.16946
2011-04-13,1.93194,-0.62442,8.47389,-1.76554,10.8495,0.15531
2011-04-14,1.87897,-0.63507,8.52143,-1.67918,10.93441,0.13041
2011-04-15,1.87962,-0.58268,8.41929,-1.65196,10.90706,0.1509
2011-04-18,1.81116,-0.59334,8.42021,-1.48159,11.03958,0.13075
2011-04-19,1.76854,-0.54825,8.34557,-1.37109,11.20365,0.1364
2011-04-20,1.79708,-0.47785,8.23121,-1.55156,11.38318,0.15048
2011-04-21,1.80841,-0.48202,8.23011,-1.49571,11.40921,0.16017
2011-04-26,1.76287,-0.59298,8.4152,-1.09223,11.22957,0.15098
2011-04-27,1.76585,-0.59849,8.41803,-0.97025,11.22306,0.16161
2011-04-28,1.77301,-0.48934,8.22718,-1.19236,11.40898,0.17334
2011-04-29,1.73021,-0.43415,8.15663,-1.11241,11.5594,0.16991
2011-05-02,1.7244,-0.43666,8.14299,-0.99093,11.53085,0.17428
2011-05-03,1.71861,-0.42375,8.12642,-0.99771,11.54753,0.16086
2011-05-04,1.74374,-0.24059,7.83242,-1.52387,11.97367,0.1848
2011-05-05,1.77501,-0.25405,7.89569,-1.6356,12.1455,0.15052
2011-05-06,1.65526,-0.81501,8.57496,0.76929,11.29337,1.11081
2011-05-09,1.62733,-0.78801,8.53489,0.79195,11.26239,0.90007
2011-05-10,1.61713,-0.78132,8.54131,0.77789,11.34739,0.84755
2011-05-11,1.64561,-0.87516,8.66527,0.87906,11.1702,0.88534
2011-05-12,1.60025,-0.87056,8.68624,0.9408,11.28046,0.71057
2011-05-13,1.62577,-0.90709,8.73628,1.11026,11.22047,0.71494
2011-05-16,1.58508,-0.8357,8.61698,1.0525,11.45166,0.68097
2011-05-17,1.65893,-0.91178,8.7201,1.14986,11.53025,0.7963
2011-05-18,1.61166,-0.81824,8.59375,0.98211,11.57636,0.74482
2011-05-19,1.63731,-0.87241,8.62673,1.15331,11.47426,0.78113
2011-05-20,1.62026,-0.87624,8.66619,1.18835,11.40283,0.74276
2011-05-23,1.52772,-0.82879,8.63119,1.07461,11.57333,0.56225
2011-05-24,1.55947,-0.85275,8.67302,1.06929,11.4442,0.56157
2011-05-25,1.54944,-0.93174,8.80986,1.23764,11.22989,0.45759
2011-05-26,1.56907,-0.91689,8.76577,1.15166,11.27751,0.48621
2011-05-27,1.50407,-0.93189,8.81161,1.28485,11.34643,0.39448
